2026-07-27T14:18:35.287+00:00 [qwen3.5-9b] start (openai, local)
2026-07-27T14:18:35.324+00:00 [qwen3.5-9b] lms: unloading to free VRAM...
2026-07-27T14:18:35.577+00:00 [qwen3.5-9b] lms: loading qwen/qwen3.5-9b @ context 131,072 (max GPU offload) for 54 task(s)...
2026-07-27T14:18:52.994+00:00 [qwen3.5-9b] loaded @ 131,072 (cold 12.1s)
2026-07-27T14:19:05.694+00:00 [qwen3.5-9b] ag-001-fix-bugs: ok, score 0.25, 12.4s, tok 2958/1057, retries 0
2026-07-27T14:19:17.915+00:00 [qwen3.5-9b] ag-002-build-cli: ok, score 0.50, 11.8s, tok 2263/1335, retries 0
2026-07-27T14:19:31.657+00:00 [qwen3.5-9b] ag-003-fix-package: ok, score 0.00, 13.5s, tok 3179/1254, retries 0
2026-07-27T14:19:49.742+00:00 [qwen3.5-9b] ag-004-data-pipeline: ok, score 0.00, 17.8s, tok 4828/1613, retries 0
2026-07-27T14:19:55.310+00:00 [qwen3.5-9b] ag-005-codebase-recon: ok, score 0.00, 5.3s, tok 2178/103, retries 0
2026-07-27T14:21:05.917+00:00 [qwen3.5-9b] ag-006-perf-optimize: ok, score 0.00, 10.5s, tok 3107/659, retries 0
2026-07-27T14:21:11.511+00:00 [qwen3.5-9b] ag-007-regression-hunt: ok, score 0.00, 5.3s, tok 1648/105, retries 0
2026-07-27T14:21:16.936+00:00 [qwen3.5-9b] ag-008-collections-fix: ok, score 0.00, 5.1s, tok 1659/89, retries 0
2026-07-27T14:21:44.915+00:00 [qwen3.5-9b] ctx-003-recall-32k: ok, score 1.00, 28.0s, tok 47566/3242, retries 0
2026-07-27T14:22:23.700+00:00 [qwen3.5-9b] ctx-004-recall-64k: ok, score 1.00, 38.8s, tok 94622/3135, retries 0
2026-07-27T14:22:47.282+00:00 [qwen3.5-9b] ctx-005-aggregate-16k: ok, score 1.00, 23.6s, tok 23801/3192, retries 0
2026-07-27T14:23:44.909+00:00 [qwen3.5-9b] ctx-006-superseded-16k: ok, score 1.00, 57.6s, tok 24117/9060, retries 0
2026-07-27T14:30:34.541+00:00 [qwen3.5-9b] ctx-007-tally-16k: error, score 0.00, 409.6s, tok 48756/65536, retries 1
2026-07-27T14:31:57.679+00:00 [qwen3.5-9b] ctx-009-multihop-32k: ok, score 0.00, 83.1s, tok 48083/11751, retries 0
2026-07-27T14:33:52.211+00:00 [qwen3.5-9b] ctx-010-decoy-recall-32k: ok, score 0.00, 114.5s, tok 44176/16863, retries 0
2026-07-27T14:35:24.847+00:00 [qwen3.5-9b] ctx-011-multihop-deep-32k: ok, score 1.00, 92.6s, tok 20687/15132, retries 0
2026-07-27T14:42:18.919+00:00 [qwen3.5-9b] ctx-012-aggregate-reversals-32k: ok, score 0.00, 414.1s, tok 60378/65053, retries 1
2026-07-27T14:49:19.245+00:00 [qwen3.5-9b] ctx-013-ledger-supersede-64k: error, score 0.00, 420.3s, tok 58824/65536, retries 1
2026-07-27T14:49:28.665+00:00 [qwen3.5-9b] ext-001-fields-json: ok, score 1.00, 9.1s, tok 175/1171, retries 0
2026-07-27T14:49:48.941+00:00 [qwen3.5-9b] ext-002-nested-normalize: ok, score 1.00, 20.0s, tok 362/3406, retries 0
2026-07-27T14:49:56.103+00:00 [qwen3.5-9b] hl-001-grounded-qa: ok, score 1.00, 6.9s, tok 220/870, retries 0
2026-07-27T14:50:18.157+00:00 [qwen3.5-9b] hl-002-abstain-hard: ok, score 1.00, 21.8s, tok 288/3729, retries 0
2026-07-27T14:50:30.329+00:00 [qwen3.5-9b] if-001-format-exact: ok, score 1.00, 11.9s, tok 160/1835, retries 0
2026-07-27T14:51:49.154+00:00 [qwen3.5-9b] if-002-constraint-stack: ok, score 1.00, 78.5s, tok 167/14436, retries 0
2026-07-27T14:52:35.265+00:00 [qwen3.5-9b] math-001-multistep: ok, score 1.00, 46.1s, tok 166/8468, retries 0
2026-07-27T14:52:50.948+00:00 [qwen3.5-9b] math-002-rate-mix: ok, score 1.00, 15.7s, tok 177/2630, retries 0
2026-07-27T14:53:03.142+00:00 [qwen3.5-9b] py-003-date-parser: ok, score 0.78, 11.9s, tok 307/1891, retries 0
2026-07-27T14:53:12.777+00:00 [qwen3.5-9b] py-004-expr-eval: ok, score 0.44, 9.3s, tok 322/1383, retries 0
2026-07-27T14:54:21.250+00:00 [qwen3.5-9b] py-005-csv-parser: ok, score 0.00, 68.1s, tok 329/12480, retries 0
2026-07-27T14:54:31.546+00:00 [qwen3.5-9b] py-006-toposort: ok, score 1.00, 10.0s, tok 281/1512, retries 0
2026-07-27T14:56:17.252+00:00 [qwen3.5-9b] py-007-regex-engine: ok, score 0.00, 45.6s, tok 280/8373, retries 0
2026-07-27T14:57:07.830+00:00 [qwen3.5-9b] py-008-json-parser: ok, score 0.29, 50.3s, tok 361/9243, retries 0
2026-07-27T14:58:45.929+00:00 [qwen3.5-9b] rs-006-string-pipeline: ok, score 0.00, 98.1s, tok 245/18263, retries 0
2026-07-27T15:04:46.180+00:00 [qwen3.5-9b] rs-008-river-boat: error, score 0.00, 360.3s, tok 458/65536, retries 1
2026-07-27T15:06:40.296+00:00 [qwen3.5-9b] rs-009-birthday-twist: ok, score 1.00, 114.1s, tok 184/20838, retries 0
2026-07-27T15:12:48.631+00:00 [qwen3.5-9b] rs-010-ants-rod: error, score 0.00, 368.3s, tok 422/65536, retries 1
2026-07-27T15:18:31.350+00:00 [qwen3.5-9b] rs-011-gear-axle-train: ok, score 1.00, 342.7s, tok 698/61408, retries 1
2026-07-27T15:24:39.839+00:00 [qwen3.5-9b] rs-012-permutation-track: error, score 0.00, 368.5s, tok 726/65536, retries 1
2026-07-27T15:29:35.599+00:00 [qwen3.5-9b] rs-013-statemachine-trace: ok, score 1.00, 295.5s, tok 1510/53412, retries 1
2026-07-27T15:29:45.053+00:00 [qwen3.5-9b] tool-001-select-call: ok, score 1.00, 9.2s, tok 238/1285, retries 0
2026-07-27T15:29:48.812+00:00 [qwen3.5-9b] tool-002-select-hard: ok, score 1.00, 3.5s, tok 254/224, retries 0
2026-07-27T15:30:25.565+00:00 [qwen3.5-9b] web-001-desktop: ok, score 0.70, 32.6s, tok 639/5845, retries 0
