2026-07-27T16:31:12.580+00:00 [gemma-4-26b-a4b] start (openai, local)
2026-07-27T16:31:12.614+00:00 [gemma-4-26b-a4b] lms: unloading to free VRAM...
2026-07-27T16:31:12.832+00:00 [gemma-4-26b-a4b] lms: loading google/gemma-4-26b-a4b @ context 212,992 (max GPU offload) for 55 task(s)...
2026-07-27T16:31:29.741+00:00 [gemma-4-26b-a4b] loaded @ 212,992 (cold 12.0s)
2026-07-27T16:31:59.297+00:00 [gemma-4-26b-a4b] ag-001-fix-bugs: ok, score 1.00, 28.9s, tok 9741/2475, retries 0
2026-07-27T16:32:46.495+00:00 [gemma-4-26b-a4b] ag-002-build-cli: ok, score 1.00, 46.7s, tok 18810/5430, retries 0
2026-07-27T16:33:57.154+00:00 [gemma-4-26b-a4b] ag-003-fix-package: ok, score 1.00, 70.4s, tok 38969/5899, retries 0
2026-07-27T16:35:05.748+00:00 [gemma-4-26b-a4b] ag-004-data-pipeline: ok, score 1.00, 68.3s, tok 56607/5898, retries 0
2026-07-27T16:35:26.145+00:00 [gemma-4-26b-a4b] ag-005-codebase-recon: ok, score 1.00, 20.1s, tok 7954/1205, retries 0
2026-07-27T16:37:08.855+00:00 [gemma-4-26b-a4b] ag-006-perf-optimize: ok, score 1.00, 101.7s, tok 18708/4146, retries 0
2026-07-27T16:37:58.859+00:00 [gemma-4-26b-a4b] ag-007-regression-hunt: max_turns, score 0.00, 49.6s, tok 28456/2848, retries 0
2026-07-27T16:38:32.799+00:00 [gemma-4-26b-a4b] ag-008-collections-fix: ok, score 1.00, 33.6s, tok 12284/2535, retries 0
2026-07-27T16:38:50.402+00:00 [gemma-4-26b-a4b] ctx-003-recall-32k: ok, score 1.00, 17.6s, tok 46992/1659, retries 0
2026-07-27T16:39:11.053+00:00 [gemma-4-26b-a4b] ctx-004-recall-64k: ok, score 1.00, 20.6s, tok 93439/539, retries 0
2026-07-27T16:39:34.453+00:00 [gemma-4-26b-a4b] ctx-005-aggregate-16k: ok, score 1.00, 23.4s, tok 23548/3279, retries 0
2026-07-27T16:40:08.442+00:00 [gemma-4-26b-a4b] ctx-006-superseded-16k: ok, score 1.00, 34.0s, tok 23822/5351, retries 0
