2026-07-27T21:26:50.542+00:00 [gpt-5.6-luna] start (openai)
2026-07-27T21:27:07.384+00:00 [gpt-5.6-luna] ag-001-fix-bugs: ok, score 1.00, 16.3s, tok 5085/779, retries 0
2026-07-27T21:27:28.381+00:00 [gpt-5.6-luna] ag-002-build-cli: ok, score 1.00, 20.6s, tok 3512/1170, retries 0
2026-07-27T21:27:51.013+00:00 [gpt-5.6-luna] ag-003-fix-package: ok, score 1.00, 22.3s, tok 15147/1369, retries 0
2026-07-27T21:27:59.659+00:00 [gpt-5.6-luna] ag-004-data-pipeline: ok, score 1.00, 8.4s, tok 5205/495, retries 0
2026-07-27T21:28:15.211+00:00 [gpt-5.6-luna] ag-005-codebase-recon: ok, score 1.00, 15.3s, tok 20379/346, retries 0
2026-07-27T21:28:33.856+00:00 [gpt-5.6-luna] ag-006-perf-optimize: ok, score 1.00, 17.6s, tok 6639/1581, retries 0
2026-07-27T21:28:58.990+00:00 [gpt-5.6-luna] ag-007-regression-hunt: ok, score 1.00, 24.8s, tok 15696/1720, retries 0
2026-07-27T21:29:14.978+00:00 [gpt-5.6-luna] ag-008-collections-fix: ok, score 1.00, 15.7s, tok 10783/946, retries 0
2026-07-27T21:29:26.151+00:00 [gpt-5.6-luna] py-003-date-parser: ok, score 1.00, 10.9s, tok 278/1090, retries 0
2026-07-27T21:30:03.635+00:00 [gpt-5.6-luna] py-004-expr-eval: ok, score 1.00, 37.2s, tok 309/3156, retries 0
2026-07-27T21:30:23.553+00:00 [gpt-5.6-luna] py-005-csv-parser: ok, score 1.00, 19.6s, tok 314/2042, retries 0
2026-07-27T21:30:27.416+00:00 [gpt-5.6-luna] py-006-toposort: ok, score 1.00, 3.6s, tok 271/418, retries 0
2026-07-27T21:31:01.044+00:00 [gpt-5.6-luna] py-007-regex-engine: ok, score 1.00, 33.3s, tok 266/2620, retries 0
2026-07-27T21:31:19.423+00:00 [gpt-5.6-luna] py-008-json-parser: ok, score 1.00, 18.1s, tok 350/2057, retries 0
2026-07-27T21:31:20.795+00:00 [gpt-5.6-luna] ext-001-fields-json: ok, score 1.00, 1.0s, tok 156/37, retries 0
2026-07-27T21:31:24.103+00:00 [gpt-5.6-luna] ext-002-nested-normalize: ok, score 1.00, 3.0s, tok 323/168, retries 0
2026-07-27T21:31:28.910+00:00 [gpt-5.6-luna] hl-001-grounded-qa: ok, score 1.00, 4.5s, tok 199/29, retries 0
2026-07-27T21:31:30.557+00:00 [gpt-5.6-luna] hl-002-abstain-hard: ok, score 1.00, 1.3s, tok 266/81, retries 0
2026-07-27T21:31:33.539+00:00 [gpt-5.6-luna] if-001-format-exact: ok, score 1.00, 2.7s, tok 150/132, retries 0
2026-07-27T21:31:40.717+00:00 [gpt-5.6-luna] if-002-constraint-stack: ok, score 0.80, 6.9s, tok 158/371, retries 0
2026-07-27T21:31:43.605+00:00 [gpt-5.6-luna] ctx-003-recall-32k: ok, score 1.00, 2.9s, tok 37265/50, retries 0
2026-07-27T21:31:47.077+00:00 [gpt-5.6-luna] ctx-004-recall-64k: ok, score 1.00, 3.5s, tok 74147/54, retries 0
2026-07-27T21:31:49.431+00:00 [gpt-5.6-luna] ctx-005-aggregate-16k: ok, score 1.00, 2.3s, tok 18687/48, retries 0
2026-07-27T21:31:52.420+00:00 [gpt-5.6-luna] ctx-006-superseded-16k: ok, score 1.00, 3.0s, tok 18941/65, retries 0
2026-07-27T21:31:56.165+00:00 [gpt-5.6-luna] ctx-007-tally-16k: ok, score 1.00, 3.7s, tok 19104/251, retries 0
2026-07-27T21:32:00.879+00:00 [gpt-5.6-luna] ctx-008-recall-128k: ok, score 1.00, 4.7s, tok 147804/57, retries 0
2026-07-27T21:32:03.607+00:00 [gpt-5.6-luna] ctx-009-multihop-32k: ok, score 1.00, 2.7s, tok 37646/39, retries 0
2026-07-27T21:32:09.721+00:00 [gpt-5.6-luna] ctx-010-decoy-recall-32k: ok, score 1.00, 6.1s, tok 35771/226, retries 0
2026-07-27T21:32:12.300+00:00 [gpt-5.6-luna] ctx-011-multihop-deep-32k: ok, score 1.00, 2.6s, tok 16558/57, retries 0
2026-07-27T21:32:47.517+00:00 [gpt-5.6-luna] ctx-012-aggregate-reversals-32k: ok, score 0.00, 35.2s, tok 23322/2729, retries 0
2026-07-27T21:33:49.332+00:00 [gpt-5.6-luna] ctx-013-ledger-supersede-64k: ok, score 0.20, 61.5s, tok 26410/5387, retries 0
2026-07-27T21:33:52.385+00:00 [gpt-5.6-luna] math-001-multistep: ok, score 1.00, 3.0s, tok 152/151, retries 0
2026-07-27T21:33:55.639+00:00 [gpt-5.6-luna] math-002-rate-mix: ok, score 1.00, 3.2s, tok 163/160, retries 0
2026-07-27T21:34:36.633+00:00 [gpt-5.6-luna] web-001-desktop: ok, score 1.00, 36.4s, tok 609/5956, retries 0
2026-07-27T21:35:07.212+00:00 [gpt-5.6-luna] web-002-maze: ok, score 0.67, 27.3s, tok 716/3841, retries 0
2026-07-27T21:35:41.873+00:00 [gpt-5.6-luna] web-003-sand: ok, score 1.00, 33.3s, tok 687/4317, retries 0
