2026-07-30T02:01:47.938+00:00 [ornith-1.0-9b] start (openai, local)
2026-07-30T02:01:47.974+00:00 [ornith-1.0-9b] lms: unloading to free VRAM...
2026-07-30T02:01:48.202+00:00 [ornith-1.0-9b] lms: loading ornith-1.0-9b @ context 131,072 (max GPU offload) for 54 task(s)...
2026-07-30T02:01:59.406+00:00 [ornith-1.0-9b] loaded @ 131,072 (cold 6.0s)
2026-07-30T02:02:26.899+00:00 [ornith-1.0-9b] ag-001-fix-bugs: ok, score 1.00, 27.2s, tok 10078/1841, retries 0
2026-07-30T02:03:24.367+00:00 [ornith-1.0-9b] ag-002-build-cli: ok, score 1.00, 57.0s, tok 9604/5796, retries 0
2026-07-30T02:08:57.936+00:00 [ornith-1.0-9b] ag-003-fix-package: ok, score 1.00, 333.3s, tok 31647/41002, retries 0
2026-07-30T02:09:31.324+00:00 [ornith-1.0-9b] ag-004-data-pipeline: ok, score 1.00, 33.1s, tok 8612/2664, retries 0
2026-07-30T02:11:10.040+00:00 [ornith-1.0-9b] ag-005-codebase-recon: max_turns, score 0.00, 98.4s, tok 101381/6498, retries 0
2026-07-30T02:11:31.627+00:00 [ornith-1.0-9b] ag-006-perf-optimize: ok, score 1.00, 20.5s, tok 8292/854, retries 0
2026-07-30T02:11:51.719+00:00 [ornith-1.0-9b] ag-007-regression-hunt: ok, score 0.00, 19.8s, tok 9655/1085, retries 0
2026-07-30T02:12:49.061+00:00 [ornith-1.0-9b] ag-008-collections-fix: max_turns, score 1.00, 57.1s, tok 42724/2855, retries 0
2026-07-30T02:13:00.759+00:00 [ornith-1.0-9b] ctx-003-recall-32k: ok, score 1.00, 11.7s, tok 47566/573, retries 0
2026-07-30T02:13:24.604+00:00 [ornith-1.0-9b] ctx-004-recall-64k: ok, score 1.00, 23.8s, tok 94622/958, retries 0
2026-07-30T02:13:33.737+00:00 [ornith-1.0-9b] ctx-005-aggregate-16k: ok, score 1.00, 9.1s, tok 23801/508, retries 0
2026-07-30T02:13:45.443+00:00 [ornith-1.0-9b] ctx-006-superseded-16k: ok, score 1.00, 11.7s, tok 24117/939, retries 0
2026-07-30T02:14:13.473+00:00 [ornith-1.0-9b] ctx-007-tally-16k: ok, score 1.00, 28.0s, tok 24378/3104, retries 0
2026-07-30T02:14:24.307+00:00 [ornith-1.0-9b] ctx-009-multihop-32k: ok, score 1.00, 10.8s, tok 48083/407, retries 0
2026-07-30T02:14:46.784+00:00 [ornith-1.0-9b] ctx-010-decoy-recall-32k: ok, score 1.00, 22.5s, tok 44176/1922, retries 0
2026-07-30T02:14:58.071+00:00 [ornith-1.0-9b] ctx-011-multihop-deep-32k: ok, score 1.00, 11.3s, tok 20687/889, retries 0
2026-07-30T02:16:29.652+00:00 [ornith-1.0-9b] ctx-012-aggregate-reversals-32k: ok, score 0.00, 91.6s, tok 30189/11290, retries 0
2026-07-30T02:25:18.084+00:00 [ornith-1.0-9b] ctx-013-ledger-supersede-64k: error, score 0.00, 528.4s, tok 58824/65536, retries 1
2026-07-30T02:25:23.116+00:00 [ornith-1.0-9b] ext-001-fields-json: ok, score 1.00, 4.7s, tok 175/243, retries 0
2026-07-30T02:25:33.957+00:00 [ornith-1.0-9b] ext-002-nested-normalize: ok, score 1.00, 10.6s, tok 362/1191, retries 0
2026-07-30T02:25:42.159+00:00 [ornith-1.0-9b] hl-001-grounded-qa: ok, score 1.00, 7.9s, tok 220/802, retries 0
2026-07-30T02:25:52.194+00:00 [ornith-1.0-9b] hl-002-abstain-hard: ok, score 1.00, 9.8s, tok 288/1060, retries 0
2026-07-30T02:26:00.314+00:00 [ornith-1.0-9b] if-001-format-exact: ok, score 1.00, 7.8s, tok 160/794, retries 0
2026-07-30T02:26:51.974+00:00 [ornith-1.0-9b] if-002-constraint-stack: ok, score 0.80, 51.4s, tok 167/7014, retries 0
2026-07-30T02:27:09.647+00:00 [ornith-1.0-9b] math-001-multistep: ok, score 1.00, 17.7s, tok 166/2216, retries 0
2026-07-30T02:27:29.046+00:00 [ornith-1.0-9b] math-002-rate-mix: ok, score 1.00, 19.4s, tok 177/2465, retries 0
2026-07-30T02:28:18.697+00:00 [ornith-1.0-9b] py-003-date-parser: ok, score 0.89, 49.4s, tok 307/6718, retries 0
2026-07-30T02:33:55.100+00:00 [ornith-1.0-9b] py-004-expr-eval: ok, score 0.89, 336.1s, tok 644/45738, retries 1
2026-07-30T02:41:58.701+00:00 [ornith-1.0-9b] py-005-csv-parser: error, score 0.00, 483.6s, tok 658/65536, retries 1
2026-07-30T02:42:49.841+00:00 [ornith-1.0-9b] py-006-toposort: ok, score 1.00, 50.9s, tok 281/6875, retries 0
2026-07-30T02:50:52.225+00:00 [ornith-1.0-9b] py-007-regex-engine: error, score 0.00, 482.4s, tok 560/65536, retries 1
