2026-07-31T18:59:19.157+00:00 [laguna-s-2.1] start (openai)
2026-07-31T19:00:56.562+00:00 [laguna-s-2.1] ag-003-fix-package: ok, score 1.00, 96.9s, tok 46309/5870, retries 0
2026-07-31T19:02:58.929+00:00 [laguna-s-2.1] ag-006-perf-optimize: ok, score 1.00, 120.7s, tok 18710/3304, retries 0
2026-07-31T19:03:56.203+00:00 [laguna-s-2.1] ag-007-regression-hunt: ok, score 1.00, 56.9s, tok 57718/2411, retries 0
2026-07-31T19:04:31.760+00:00 [laguna-s-2.1] ag-008-collections-fix: ok, score 1.00, 35.1s, tok 33904/1516, retries 0
2026-07-31T19:05:55.873+00:00 [laguna-s-2.1] py-003-date-parser: ok, score 1.00, 83.5s, tok 307/6013, retries 0
2026-07-31T19:07:09.451+00:00 [laguna-s-2.1] py-004-expr-eval: ok, score 1.00, 72.9s, tok 312/5186, retries 0
2026-07-31T19:07:26.608+00:00 [laguna-s-2.1] py-005-csv-parser: ok, score 1.00, 16.6s, tok 319/1027, retries 0
2026-07-31T19:07:32.478+00:00 [laguna-s-2.1] py-006-toposort: ok, score 1.00, 5.2s, tok 276/343, retries 0
2026-07-31T19:16:39.683+00:00 [laguna-s-2.1] py-007-regex-engine: ok, score 1.00, 546.8s, tok 260/34445, retries 0
2026-07-31T19:17:03.781+00:00 [laguna-s-2.1] py-008-json-parser: ok, score 1.00, 23.7s, tok 354/1444, retries 0
2026-07-31T19:17:05.297+00:00 [laguna-s-2.1] ext-001-fields-json: ok, score 1.00, 1.1s, tok 176/46, retries 0
2026-07-31T19:17:06.730+00:00 [laguna-s-2.1] if-001-format-exact: ok, score 1.00, 1.0s, tok 160/42, retries 0
2026-07-31T19:17:31.739+00:00 [laguna-s-2.1] ctx-003-recall-32k: ok, score 1.00, 25.0s, tok 47731/1699, retries 0
2026-07-31T19:27:36.881+00:00 [laguna-s-2.1] ctx-004-recall-64k: ok, score 1.00, 605.1s, tok 94983/159, retries 1
2026-07-31T19:27:41.876+00:00 [laguna-s-2.1] ctx-005-aggregate-16k: ok, score 1.00, 5.0s, tok 23906/287, retries 0
2026-07-31T19:27:53.806+00:00 [laguna-s-2.1] ctx-006-superseded-16k: ok, score 1.00, 11.9s, tok 24235/658, retries 0
2026-07-31T19:34:13.357+00:00 [laguna-s-2.1] ctx-007-tally-16k: ok, score 1.00, 379.5s, tok 24499/31097, retries 0
2026-07-31T19:48:38.180+00:00 [laguna-s-2.1] ctx-008-recall-128k: ok, score 1.00, 864.8s, tok 189373/31635, retries 1
2026-07-31T19:48:45.147+00:00 [laguna-s-2.1] ctx-009-multihop-32k: ok, score 1.00, 7.0s, tok 48227/499, retries 0
2026-07-31T19:49:05.874+00:00 [laguna-s-2.1] ctx-010-decoy-recall-32k: ok, score 1.00, 20.7s, tok 43019/1631, retries 0
2026-07-31T19:49:14.181+00:00 [laguna-s-2.1] ctx-011-multihop-deep-32k: ok, score 1.00, 8.3s, tok 20687/634, retries 0
2026-07-31T20:09:20.394+00:00 [laguna-s-2.1] ctx-012-aggregate-reversals-32k: error, score 0.00, 1206.2s, tok ?/?, retries 1
2026-07-31T20:23:45.906+00:00 [laguna-s-2.1] ctx-013-ledger-supersede-64k: error, score 0.00, 865.5s, tok 29851/65536, retries 1
2026-07-31T20:23:59.944+00:00 [laguna-s-2.1] math-001-multistep: ok, score 1.00, 14.0s, tok 164/1014, retries 0
2026-07-31T20:29:15.729+00:00 [laguna-s-2.1] web-001-desktop: ok, score 1.00, 307.1s, tok 615/24198, retries 0
2026-07-31T20:48:09.579+00:00 [laguna-s-2.1] web-002-maze: error, score 0.00, 1133.8s, tok 781/65536, retries 1
2026-07-31T21:10:42.981+00:00 [laguna-s-2.1] web-003-sand: error, score 0.00, 1353.4s, tok 714/65536, retries 1
2026-07-31T21:11:11.358+00:00 [laguna-s-2.1] web-004-kanban: ok, score 1.00, 23.9s, tok 397/2230, retries 0
2026-07-31T21:15:18.959+00:00 [laguna-s-2.1] web-005-expense: ok, score 0.90, 242.5s, tok 505/23959, retries 0
2026-07-31T21:15:47.371+00:00 [laguna-s-2.1] web-006-spreadsheet: ok, score 0.91, 25.1s, tok 542/2812, retries 0
2026-07-31T21:16:14.706+00:00 [laguna-s-2.1] web-007-life: ok, score 1.00, 25.6s, tok 591/2465, retries 0
2026-07-31T21:16:40.041+00:00 [laguna-s-2.1] web-008-snake: ok, score 1.00, 23.6s, tok 556/2140, retries 0
2026-07-31T21:16:59.641+00:00 [laguna-s-2.1] web-009-physics: ok, score 1.00, 17.7s, tok 494/1922, retries 0
2026-07-31T21:17:25.397+00:00 [laguna-s-2.1] web-010-2048: ok, score 1.00, 23.9s, tok 530/2590, retries 0
