2026-08-22T22:49:57.176+00:00 [muse-glimmer] start (openai, local)
2026-08-22T22:49:57.225+00:00 [muse-glimmer] lms: unloading to free VRAM...
2026-08-22T22:49:57.466+00:00 [muse-glimmer] lms: loading meta/muse-glimmer @ context 212,992 (max GPU offload) for 56 task(s)...
2026-08-22T22:50:23.283+00:00 [muse-glimmer] loaded @ 212,992 (cold 20.2s)
2026-08-22T22:51:14.922+00:00 [muse-glimmer] ag-001-fix-bugs: ok, score 1.00, 51.3s, tok 11425/2651, retries 0
2026-08-22T22:52:26.200+00:00 [muse-glimmer] ag-002-build-cli: max_turns, score 1.00, 70.6s, tok 28382/2739, retries 0
2026-08-22T22:54:11.841+00:00 [muse-glimmer] ag-003-fix-package: ok, score 1.00, 105.3s, tok 24857/6070, retries 0
2026-08-22T22:55:15.244+00:00 [muse-glimmer] ag-004-data-pipeline: ok, score 1.00, 63.1s, tok 9546/2903, retries 0
2026-08-22T22:55:47.817+00:00 [muse-glimmer] ag-005-codebase-recon: ok, score 1.00, 32.2s, tok 15209/932, retries 0
2026-08-22T22:56:41.405+00:00 [muse-glimmer] ag-006-perf-optimize: ok, score 1.00, 52.4s, tok 10947/2249, retries 0
2026-08-22T22:58:16.367+00:00 [muse-glimmer] ag-007-regression-hunt: ok, score 1.00, 94.6s, tok 52015/4148, retries 0
2026-08-22T22:59:19.155+00:00 [muse-glimmer] ag-008-collections-fix: ok, score 1.00, 62.5s, tok 22678/2475, retries 0
2026-08-22T22:59:35.551+00:00 [muse-glimmer] ctx-003-recall-32k: ok, score 1.00, 16.4s, tok 37619/295, retries 0
2026-08-22T23:00:05.204+00:00 [muse-glimmer] ctx-004-recall-64k: ok, score 1.00, 29.6s, tok 74882/449, retries 0
2026-08-22T23:00:17.031+00:00 [muse-glimmer] ctx-005-aggregate-16k: ok, score 1.00, 11.8s, tok 18868/338, retries 0
2026-08-22T23:00:57.987+00:00 [muse-glimmer] ctx-006-superseded-16k: ok, score 1.00, 41.0s, tok 19127/2554, retries 0
2026-08-22T23:04:16.392+00:00 [muse-glimmer] ctx-007-tally-16k: ok, score 1.00, 198.4s, tok 19338/12721, retries 0
2026-08-22T23:04:28.855+00:00 [muse-glimmer] ctx-008-recall-128k: error, score 0.00, 12.5s, tok ?/?, retries 1
2026-08-22T23:04:46.396+00:00 [muse-glimmer] ctx-009-multihop-32k: ok, score 1.00, 17.5s, tok 38034/281, retries 0
2026-08-22T23:05:19.659+00:00 [muse-glimmer] ctx-010-decoy-recall-32k: ok, score 1.00, 33.3s, tok 35387/1367, retries 0
