2026-08-28T00:01:08.555+00:00 [codex-cli-gpt-5.6-sol] start (codex-cli)
2026-08-28T00:02:04.480+00:00 [codex-cli-gpt-5.6-sol] ag-007-regression-hunt: ok, score 1.00, 55.6s, tok 166940/1422, retries 0, predicted $1.0011
2026-08-28T00:02:29.551+00:00 [codex-cli-gpt-5.6-sol] py-004-expr-eval: ok, score 1.00, 24.8s, tok 10591/1087, retries 0, predicted $0.0952
2026-08-28T00:02:57.137+00:00 [codex-cli-gpt-5.6-sol] py-005-csv-parser: ok, score 1.00, 27.3s, tok 10590/924, retries 0, predicted $0.0820
2026-08-28T00:03:18.182+00:00 [codex-cli-gpt-5.6-sol] py-007-regex-engine: ok, score 1.00, 20.8s, tok 10546/947, retries 0, predicted $0.0861
2026-08-28T00:03:47.794+00:00 [codex-cli-gpt-5.6-sol] py-008-json-parser: ok, score 1.00, 29.4s, tok 10635/1485, retries 0, predicted $0.1014
2026-08-28T00:03:55.256+00:00 [codex-cli-gpt-5.6-sol] ctx-008-recall-128k: ok, score 1.00, 7.5s, tok 158084/9, retries 0, predicted $0.7907
2026-08-28T00:03:58.373+00:00 [codex-cli-gpt-5.6-sol] ctx-010-decoy-recall-32k: ok, score 1.00, 3.1s, tok 46050/11, retries 0, predicted $0.2306
2026-08-28T00:04:13.007+00:00 [codex-cli-gpt-5.6-sol] ctx-012-aggregate-reversals-32k: ok, score 1.00, 14.6s, tok 33600/572, retries 0, predicted $0.1791
2026-08-28T00:05:42.283+00:00 [codex-cli-gpt-5.6-sol] ctx-013-ledger-supersede-64k: ok, score 0.80, 89.0s, tok 74114/4030, retries 0, predicted $0.2731
2026-08-28T00:07:47.428+00:00 [codex-cli-gpt-5.6-sol] web-001-desktop: ok, score 0.90, 119.4s, tok 10893/6472, retries 0, predicted $0.2609
2026-08-28T00:09:21.310+00:00 [codex-cli-gpt-5.6-sol] web-002-maze: ok, score 1.00, 90.5s, tok 11000/4885, retries 0, predicted $0.2191
2026-08-28T00:10:46.311+00:00 [codex-cli-gpt-5.6-sol] web-003-sand: ok, score 1.00, 83.5s, tok 10971/4493, retries 0, predicted $0.1867
2026-08-28T00:11:43.392+00:00 [codex-cli-gpt-5.6-sol] web-004-kanban: ok, score 1.00, 53.3s, tok 10676/2813, retries 0, predicted $0.1442
2026-08-28T00:12:48.002+00:00 [codex-cli-gpt-5.6-sol] web-005-expense: ok, score 0.80, 60.3s, tok 10776/3124, retries 0, predicted $0.1432
2026-08-28T00:13:45.726+00:00 [codex-cli-gpt-5.6-sol] web-006-spreadsheet: ok, score 1.00, 54.5s, tok 10795/2875, retries 0, predicted $0.1484
2026-08-28T00:14:51.280+00:00 [codex-cli-gpt-5.6-sol] web-008-snake: ok, score 1.00, 64.3s, tok 10793/3405, retries 0, predicted $0.1477
2026-08-28T00:15:29.219+00:00 [codex-cli-gpt-5.6-sol] web-011-sort: ok, score 1.00, 36.5s, tok 10700/1835, retries 0, predicted $0.1166
2026-08-28T00:17:46.155+00:00 [codex-cli-gpt-5.6-sol] web-012-coin: ok, score 0.31, 129.2s, tok 11170/7027, retries 0, predicted $0.2732
2026-08-28T00:19:21.252+00:00 [codex-cli-gpt-5.6-sol] web-013-billiards: ok, score 0.80, 93.5s, tok 11037/5018, retries 0, predicted $0.2268
